artist,genre,score,author
David Byrne,Rock,5.5,Andy Beta
DJ Healer,Electronic,6.2,Chal Ravens
Jorge Velez,Electronic,7.9,Philip Sherburne
Chandra,Rock,7.8,Andy Beta
The Chainsmokers,Electronic,3.1,Larry Fitzmaurice
Silent Servant,Electronic,7.8,Harley Brown
A Boogie Wit Da Hoodie,Rap,6.8,Alphonse Pierre
Çaykh,Experimental,7.3,Tom Hawking
The-Dream,Pop/R&B,7.4,Sheldon Pearce
Doug Paisley,Folk/Country,7.7,Amanda Wicks
Buzzcocks,Rock,9.4,Jason Heller
J. Mamana,Rock,7.4,Jayson Greene
MIKE,Rap,7.6,Jayson Greene
Hammock,Electronic,6.2,Brian Howe
Bad Bunny,Rap,8.2,Matthew  Ismael Ruiz
Charlotte Gainsbourg,Pop/R&B,7.4,Ben Cardew
21 Savage,Rap,7.8,Paul A. Thompson
Magic Dirt,Rock,7.2,Stuart Berman
Algernon Cadwallader,Rock,8.3,Ian Cohen
XXX,Rap,7.3,Michelle Kim
Foxwarren,Rock,7.3,Margaret Farrell
Power Trip,Metal,7.7,Andy O'Connor
"Scott Walker, Sia","Rock,Pop/R&B",4.5,Larry Fitzmaurice
The Funs ,Rock,7.2,Steven Arroyo
Twist,Rock,7.2,Calum Marsh
Booker Stardrum,Experimental,7.7,Philip Sherburne
Scott Hirsch,Electronic,7.5,Stephen M. Deusner
The 7th Plain,Electronic,7.4,Philip Sherburne
Zayn,Pop/R&B,6.4,Maura Johnston
Penelope Trappes ,Experimental,7.5,Philip Sherburne
Big Joanie  ,Rock,7.6,Jenn Pelly
Yhung T.O.,Rap,7.4,Dean Van Nguyen
Avril Lavigne,Rock,6.6,Jamieson Cox
Jeff Goldblum & The Mildred Snitzer Orchestra,Jazz,6.3,Zach Schonfeld
Ski Mask the Slump God,Rap,7.2,Trey Alston
Bruce Springsteen,Rock,8.0,Caryn Rose
My Brightest Diamond,Rock,7.0,Maggie Lange
XXXTentacion,Rap,3.0,Sheldon Pearce
Coldplay,Rock,6.1,Sam Sodomsky
XXL,Rock,7.5,Owen Myers 
J.I.D,Rap,7.7,Jonah Bromwich
Chic,Pop/R&B,8.2,Andy Beta
Merzbow,Experimental,7.0,Miles Bowe
Gucci Mane,Rap,6.5,Evan Rytlewski
It Looks Sad.,Rock,6.9,Ian Cohen
State Champion,Rock,8.0,Rebecca Bengal
Blake Mills,"Rock,Experimental",8.1,Grayson Haver Currin
The Spinanes,Rock,8.5,Stephen M. Deusner
Rose Droll,Experimental,6.7,Arielle Gordon
Black Sabbath,"Metal,Rock",9.5,Grayson Haver Currin
"Oren Ambarchi, Jim O’Rourke",Experimental,7.4,Andy Beta
Galya Bisengalieva,Experimental,7.6,Philip Sherburne
Alessia Cara,Pop/R&B,6.8,Jayson Greene
Heather Leigh,Experimental,7.7,Marc Masters
Stephen Steinbrink,Rock,7.3,Madison Bloom
Bill Callahan,Rock,7.4,Sam Sodomsky
Kodie Shane,Rap,7.8,Larry Fitzmaurice
"Chris Corsano, Bill Orcutt","Jazz,Experimental",8.0,Grayson Haver Currin
Zubin,Rap,6.9,Duncan Cooper
David Bowie,Rock,7.0,Sean T. Collins
"The Good, the Bad & the Queen",Rock,7.5,Madison Bloom
