artist,score,author
David Byrne,5.5,Andy Beta
DJ Healer,6.2,Chal Ravens
Jorge Velez,7.9,Philip Sherburne
Chandra,7.8,Andy Beta
The Chainsmokers,3.1,Larry Fitzmaurice
Silent Servant,7.8,Harley Brown
A Boogie Wit Da Hoodie,6.8,Alphonse Pierre
Çaykh,7.3,Tom Hawking
The-Dream,7.4,Sheldon Pearce
Doug Paisley,7.7,Amanda Wicks
Buzzcocks,9.4,Jason Heller
J. Mamana,7.4,Jayson Greene
MIKE,7.6,Jayson Greene
Hammock,6.2,Brian Howe
Bad Bunny,8.2,Matthew  Ismael Ruiz
Charlotte Gainsbourg,7.4,Ben Cardew
21 Savage,7.8,Paul A. Thompson
Magic Dirt,7.2,Stuart Berman
Algernon Cadwallader,8.3,Ian Cohen
XXX,7.3,Michelle Kim
Foxwarren,7.3,Margaret Farrell
Power Trip,7.7,Andy O'Connor
"Scott Walker, Sia",4.5,Larry Fitzmaurice
The Funs ,7.2,Steven Arroyo
Twist,7.2,Calum Marsh
Booker Stardrum,7.7,Philip Sherburne
Scott Hirsch,7.5,Stephen M. Deusner
The 7th Plain,7.4,Philip Sherburne
Zayn,6.4,Maura Johnston
Penelope Trappes ,7.5,Philip Sherburne
Big Joanie  ,7.6,Jenn Pelly
Yhung T.O.,7.4,Dean Van Nguyen
Avril Lavigne,6.6,Jamieson Cox
Jeff Goldblum & The Mildred Snitzer Orchestra,6.3,Zach Schonfeld
Ski Mask the Slump God,7.2,Trey Alston
Bruce Springsteen,8.0,Caryn Rose
My Brightest Diamond,7.0,Maggie Lange
XXXTentacion,3.0,Sheldon Pearce
Coldplay,6.1,Sam Sodomsky
XXL,7.5,Owen Myers 
J.I.D,7.7,Jonah Bromwich
Chic,8.2,Andy Beta
Merzbow,7.0,Miles Bowe
Gucci Mane,6.5,Evan Rytlewski
It Looks Sad.,6.9,Ian Cohen
State Champion,8.0,Rebecca Bengal
Blake Mills,8.1,Grayson Haver Currin
The Spinanes,8.5,Stephen M. Deusner
Rose Droll,6.7,Arielle Gordon
Black Sabbath,9.5,Grayson Haver Currin
"Oren Ambarchi, Jim O’Rourke",7.4,Andy Beta
Galya Bisengalieva,7.6,Philip Sherburne
Alessia Cara,6.8,Jayson Greene
Heather Leigh,7.7,Marc Masters
Stephen Steinbrink,7.3,Madison Bloom
Bill Callahan,7.4,Sam Sodomsky
Kodie Shane,7.8,Larry Fitzmaurice
"Chris Corsano, Bill Orcutt",8.0,Grayson Haver Currin
Zubin,6.9,Duncan Cooper
David Bowie,7.0,Sean T. Collins
"The Good, the Bad & the Queen",7.5,Madison Bloom
Waajeed,7.4,Ben Cardew
The Samps,7.3,Philip Sherburne
Meek Mill,7.7,Evan Rytlewski
Iron Maiden,7.0,Andy O'Connor
Dipset,4.0,Ian Cohen
Kirk Knight,5.7,Trey Alston
Jeff Tweedy,8.3,Sam Sodomsky
6ix9ine,3.4,Alphonse Pierre
Jon Spencer,7.3,Stuart Berman
didi,7.1,Sasha Geffen
Daft Punk,9.2,Larry Fitzmaurice
Neil Young,8.0,Jesse Jarnow
Tommy Genesis ,7.3,Eric Torres
Bauhaus,7.9,Philip Sherburne
BEAST,6.8,Piotr Orlov
